"theta","phi","sum","Dmax1","Dmax2","d1","d2"
"37",23,5,28,14.1594003054542,37.2399608590636,12.6610058085837,13.7020753424458
"38",23.5,5,28.5,14.2172827140435,37.3603988054146,12.224030500011,13.2788623035293
"39",24,5,29,14.2695100647816,37.4767682271397,11.8081066756497,12.8763961212034
"40",24.5,5,29.5,14.3162941896081,37.5892760715118,11.4117877147043,12.4932377470954
"41",25,5,30,14.3578332457547,37.6981154906467,11.0337567222478,12.1280764676942
"42",25.5,5,30.5,14.3943128461188,37.8034669722586,10.6728144115071,11.7797192602315
"43",26,5,31,14.4259070801993,37.9054993609861,10.3278636768918,11.4470752260646
"44",26.5,5,31.5,14.4527794377556,38.0043707824503,9.99790148236417,11.129147390084
"45",27,5,32,14.4750836458259,38.100229480682,9.68200572457012,10.8250190525276
"46",27.5,5,32.5,14.4929644284364,38.1932145782481,9.37932985018273,10.5338496315366
"47",28,5,33,14.5065581971984,38.2834567672757,9.08909456376948,10.2548645442006
"48",28.5,5,33.5,14.5159936800146,38.3710789385934,8.81057960998883,9.98734836823598
"49",29,5,34,14.5213924942634,38.4561967553607,8.54312000550101,9.73064153029903
"50",29.5,5,34.5,14.5228696700937,38.5389191768156,8.28610005173814,9.48413273862879
"51",30,5,35,14.5205341288182,38.619348937131,8.03894938517426,9.24725623916278
"52",5,5.5,10.5,4.02779410435811,25.9232819906203,4.02779410435811,4.45694828106316
"53",5.5,5.5,11,4.84170149010778,26.7404178541857,4.84170149010778,5.31930993475666
"54",6,5.5,11.5,5.58308235547228,27.4867069127929,5.58308235547227,6.10237380480447
"55",6.5,5.5,12,6.26079299338219,28.1710050855945,6.26079299338218,6.81672512492644
"56",7,5.5,12.5,6.8822728805448,28.8007513476315,6.8822728805448,7.47091176540539
"57",7.5,5.5,13,7.45381716666178,29.3822402190891,7.45381716666178,8.07198337327216
"58",8,5.5,13.5,7.98078861046921,29.9208337013848,7.98078861046921,8.62584085084277
"59",8.5,5.5,14,8.46778410089214,30.4211277983804,8.46778410089214,9.13747878627038
"60",9,5.5,14.5,8.91876672552491,30.8870845849297,8.91876672552491,9.61116298346306
"61",9.5,5.5,15,9.33717142539235,31.3221378617174,9.33717142539234,10.050564518471
"62",10,5.5,15.5,9.72599020037782,31.729278360773,9.72599020037782,10.4588637413355
"63",10.5,5.5,16,10.0878413386077,32.1111229749529,10.0878413386077,10.8388317460847
"64",11,5.5,16.5,10.4250260586478,32.4699714002422,10.4250260586478,11.1928953953195
"65",11.5,5.5,17,10.73957515599,32.8078527823576,10.73957515599,11.5231913725788
"66",12,5.5,17.5,11.0332876529684,33.1265643667896,11.0332876529684,11.8316075600602
"67",12.5,5.5,18,11.3077630069928,33.4277037071707,11.3077630069928,12.1198201732113
"68",13,5.5,18.5,11.5644280957937,33.7126956506654,11.5644280957937,12.3893226097005
"69",13.5,5.5,19,11.8045599418065,33.9828150625096,11.8045599418064,12.6414493772564
"70",14,5.5,19.5,12.0293049404634,34.2392060544663,12.0293049404634,12.8773986152081
"71",14.5,5.5,20,12.2396952042078,34.4828983290139,12.2396952042078,13.0982477384939
"72",15,5.5,20.5,12.436662514666,34.7148211317015,12.436662514666,13.3049695262293
"73",15.5,5.5,21,12.621050281616,34.9358152103114,12.621050281616,13.4984441416551
"74",16,5.5,21.5,12.7936238332272,35.1466431053004,12.7936238332272,13.6794705068821
"75",16.5,5.5,22,12.9550793030475,35.347998037,12.9550793030474,13.8487755588582
"76",17,5.5,22.5,13.1060513320216,35.5405116078565,13.1060513320215,14.0070219520325
"77",17.5,5.5,23,13.2471197658598,35.724760500031,13.2471197658598,14.1548156398969
"78",18,5.5,23.5,13.3788154973845,35.9012723179867,13.3788154973845,14.292711796457
"79",18.5,5.5,24,13.5016255785437,36.0705307007531,13.5016255785437,14.4212202088035
"80",19,5.5,24.5,13.6159977064239,36.2329798081988,13.6159977064239,14.5408095941794
"81",19.5,5.5,25,13.7223441709005,36.3890282689511,13.7223441709005,14.6519125712757
"82",20,5.5,25.5,13.8210453378185,36.5390526638554,13.8210453378185,14.7549279606015
"83",20.5,5.5,26,13.9124527302249,36.6834006074962,13.9124527302248,14.8502257889637
"84",21,5.5,26.5,13.9968917607416,36.8223934808677,13.9968917607415,14.9381481873529
"85",21.5,5.5,27,14.0746641602986,36.9563288604132,13.6521092989522,14.6055471005803
"86",22,5.5,27.5,14.1460501418712,37.0854826820799,13.1675546240563,14.1362835303527
"87",22.5,5.5,28,14.2113103323458,37.2101111735094,12.7074226546071,13.6910925858459
"88",23,5.5,28.5,14.2706875009876,37.3304525828408,12.2699478415424,13.2682182734595
"89",23.5,5.5,29,14.324408109057,37.4467287286719,11.8535355583927,12.8660756206173
"90",24,5.5,29.5,14.3726837017946,37.5591463923966,11.4567368844424,12.483223828877
"91",24.5,5.5,30,14.4157121611625,37.66789857131,11.0782356378378,12.1183549662597
"92",25,5.5,30.5,14.4536788353203,37.7731656084561,10.7168319794498,11.7702770559086
"93",25.5,5.5,31,14.4867575587527,37.8751162131363,10.3714281627008,11.4378998595162
"94",26,5.5,31.5,14.5151115751955,37.9739083842261,10.0410202131202,11.1202265879459
"95",26.5,5.5,32,14.5388943739928,38.0696902469313,9.72468692615858,10.8163424455752
"96",27,5.5,32.5,14.5582504492052,38.1626008123051,9.42158102668596,10.5254066233207
"97",27.5,5.5,33,14.5733159896628,38.2527706677184,9.13092184644708,10.2466448036974
"98",28,5.5,33.5,14.5842195071755,38.3403226054966,8.85198969927236,9.97934308667389
"99",28.5,5.5,34,14.5910824092668,38.4253721960894,8.58411916366341,9.72284148309198
"100",29,5.5,34.5,14.5940195220576,38.5080283113987,8.32669509127955,9.47653070576593
"101",29.5,5.5,35,14.593139568285,38.5883936032507,8.07914561059803,9.23984418281346
"102",30,5.5,35.5,14.5885456048768,38.6665649414334,7.84094156871359,9.01225692859669
"103",5,6,11,4.84558546848004,26.7169304955237,4.84558546848004,5.31463773528445
"104",5.5,6,11.5,5.58799054871494,27.4625640535743,5.58799054871493,6.09701371555004
"105",6,6,12,6.26677947720936,28.1462611753114,6.26677947720936,6.81073763329824
"106",6.5,6,12.5,6.8893850687828,28.7754543017765,6.8893850687828,7.46434966882062
"107",7,6,13,7.46209681651551,29.3564324243836,7.46209681651551,8.0648933619887
"108",7.5,6,13.5,7.99027264164493,29.8945528348537,7.99027264164492,8.61826441853871
"109",8,6,14,8.47850526846658,30.3944075001636,8.47850526846658,9.12945292508087
"110",8.5,6,14.5,8.93075417682214,30.8599550150918,8.93075417682214,9.60272096954734
"111",9,6,15,9.3504511640688,31.294626164255,9.3504511640688,10.0417367242469
"112",9.5,6,15.5,9.74058547567704,31.7014090527835,9.74058547567704,10.4496772559917
"113",10,6,16,10.1037729738173,32.0829182749939,10.1037729738173,10.8293114963175
"114",10.5,6,16.5,10.4423127298146,32.4414515069412,10.4423127298146,11.1830642879602
"115",11,6,17,10.7582336296728,32.7790361120485,10.7582336296728,11.5130699604234
"116",11.5,6,17.5,11.0533329900525,33.0974677572015,11.0533329900525,11.821215423069
"117",12,6,18,11.3292087382242,33.3983425928268,11.3292087382242,12.1091747670302
"118",12.5,6,18.5,11.5872863736198,33.683084214579,11.5872863736198,12.3784404530984
"119",13,6,19,11.8288416722672,33.9529663679203,11.8288416722672,12.6303457971357
