"Angle","Dmax","d1","d2","d3"
"32",25.5,14.3453828767614,10.7107300935317,3.63465286876658,10.7107294934459
"33",26,14.472381718676,10.5449344647895,3.92744748904079,10.5449341590707
"34",26.5,14.5935837300491,10.3880827006982,4.20549860364171,10.3880829042038
"35",27,14.7092881090547,10.2371380164546,4.47215004118505,10.2371326070016
"36",27.5,14.8197723211083,10.097059647662,4.72270993821542,10.0970599144809
"37",28,14.9252940399874,9.95984946016384,4.96544453335226,9.95984672636364
"38",28.5,15.0260928846234,9.83004199502015,5.1960467226649,9.83004651783045
"39",29,15.1223919762236,9.70582533095228,5.41656596345099,9.7058252829979
"40",29.5,15.2143993370418,9.58768969813384,5.62670871447638,9.58768996770488
"41",30,15.3023091492708,9.47379369544483,5.82851490390644,9.47379398072152
"42",30.5,15.3863028901085,9.36510511694706,6.02119766822965,9.36510606465366
"43",31,15.4665503569779,9.26062548836711,6.205925828208,9.26062202791304
"44",31.5,15.5432105951066,9.16023464997052,6.38296965803827,9.16023941330301
"45",32,15.6164327381446,9.06469027304158,6.55174225116519,9.06469039834118
"46",32.5,15.6863567711863,8.9701534326018,6.71620319741597,8.97015030861141
"47",33,15.753114224425,8.88260633182538,6.87050791709541,8.88260588530578
"48",33.5,15.8168288046893,8.79806845736657,7.01875730620606,8.79807070649689
"49",34,15.8776169712544,8.71292534860229,7.16469172203985,8.71292416619481
"50",34.5,15.9355884615818,8.63513741970292,7.30044921924232,8.63513640284764
"51",35,15.990846771995,8.55833944384237,7.43250592495179,8.55833828473764
"52",35.5,16.043489597734,8.48370671102848,7.5597826079332,8.48370655589961
"53",36,16.0936092363374,8.4140779120716,7.67952723435885,8.41407994176702
"54",36.5,16.1412929578689,8.34408697028006,7.7972055131875,8.34408596227213
"55",37,16.1866233451249,8.27821323512244,7.90841001263605,8.27820928697513
"56",37.5,16.2296786066249,8.21248188236402,8.01719242931654,8.21248323239156
"57",38,16.2705328648898,8.14991955679852,8.12061319525757,8.14991780472833
"58",38.5,16.3092564222582,7.9588684946739,7.95886848721522,7.95886877247135
"59",39,16.3459160062526,7.74764560456805,7.74764552660666,7.74764563307921
"60",39.5,16.3805749963103,7.54494083281581,7.54494068047717,7.54494076970592
"61",40,16.4132936335082,7.35024689153993,7.35024695719682,7.35024692347167
"62",40.5,16.444129214752,7.16309838455339,7.16309816604558,7.16309811118722
"63",41,16.4731362727548,6.98306570908941,6.98306541905716,6.98306557942314
"64",41.5,16.5003667430049,6.80975355481054,6.80975322632307,6.80975342288284
"65",42,16.5258701188064,6.6427960203098,6.64279620002521,6.64279586430776
"66",42.5,16.5496935953746,6.48185461413372,6.48185495997936,6.48185475116434
"67",43,16.5718822038775,6.32661518543436,6.32661506427363,6.32661498851923
"68",43.5,16.5924789362323,6.17678533331168,6.1767851774206,6.17678537628811
"69",44,16.6115248613915,6.03209328760842,6.03209345217959,6.03209339075785
"70",44.5,16.6290592337897,5.89228608714112,5.89228590488837,5.89228606552435
"71",45,16.6451195945587,5.75712657854873,5.75712692414935,5.7571266989908
"72",45.5,16.6597418660687,5.62639408969202,5.62639409230801,5.62639418412227
"73",46,16.6729604403027,5.49988075562366,5.49988072843515,5.49988080520637
"74",46.5,16.6848082615284,5.37739321270062,5.37739336815076,5.37739324050925
"75",47,16.6953169036925,5.25874940742591,5.25874929308669,5.2587493899079
"76",47.5,16.7045166429255,5.14377795217302,5.14377802669697,5.14377795356175
"77",48,16.7124365255148,5.03231783175645,5.03231787317881,5.0323178634751
"78",48.5,16.7191044316715,4.92421792857229,4.92421757313126,4.92421810334767
"79",49,16.7245471353932,4.81933492457074,4.81933508166634,4.81933481249587
"80",49.5,16.7287903606967,4.71753479120376,4.71753472157192,4.71753485057941
"81",50,16.7318588344768,4.6186896840804,4.6186899575072,4.61868971227969
"82",50.5,16.7337763362236,4.52268000920161,4.52267981494394,4.52267988147622
"83",51,16.7345657448144,4.42939150283785,4.42939176653391,4.42939161853191
"84",51.5,16.7342490825787,4.33871712168318,4.33871708249999,4.33871707290853
"85",52,16.7328475568206,4.25055438518137,4.25055424793599,4.25055429788354
"86",52.5,16.7303815989674,4.16480660132001,4.1648066275178,4.16480669124189
"87",53,16.7268709015009,4.08138202179067,4.08138222302352,4.08138204221387
"88",53.5,16.722334452817,4.00019390771932,4.00019389214316,4.00019388335657
"89",54,16.7167905701487,3.92115890052072,3.92115909014329,3.92115895723082
"90",54.5,16.710256930674,3.84419830471936,3.84419856414823,3.84419836073465
"91",55,16.7027506009284,3.76923764008967,3.76923779174962,3.76923786474038
"92",55.5,16.6942880646241,3.69620515148821,3.69620510290524,3.69620523001023
"93",56,16.6848852489804,3.62503281637599,3.62503277413038,3.62503284543452
"94",56.5,16.6745575496533,3.55565583778214,3.55565596387191,3.55565581885581
"95",57,16.6633198543527,3.48801251862209,3.48801238611327,3.48801249737526
"96",57.5,16.6511865652271,3.42204363565755,3.4220434516029,3.42204360275033
"97",58,16.6381716200881,3.35769291411231,3.35769287792435,3.35769292250359
"98",58.5,16.6242885125472,3.29490646661534,3.29490636274468,3.29490640907561
"99",59,16.6095503111263,3.23363273944514,3.23363273407682,3.23363298478281
"100",59.5,16.5939696774047,3.17382281584299,3.17382260324217,3.17382265015434
"101",60,16.5775588832577,3.11542884696388,3.11542894472661,3.11542896646351
