"Angle","Dmax","d1","d2"
"39",29,15.1223919762236,7.56119574695012,7.56119622927342
"40",29.5,15.2143993370418,7.6071996850607,7.60719965198105
"41",30,15.3023091492708,7.65115442990167,7.65115471936914
"42",30.5,15.3863028901085,7.69315141274291,7.69315147736559
"43",31,15.4665503569779,7.73327504721225,7.73327530976562
"44",31.5,15.5432105951066,7.77160524117688,7.77160535392967
"45",32,15.6164327381446,7.80821626948466,7.80821646865996
"46",32.5,15.6863567711863,7.84317834732115,7.84317842386512
"47",33,15.753114224425,7.87655717802247,7.87655704640248
"48",33.5,15.8168288046893,7.90841425677756,7.90841454791174
"49",34,15.8776169712544,7.93880833382703,7.93880863742737
"50",34.5,15.9355884615818,7.96779411867718,7.96779434290459
"51",35,15.990846771995,7.99542338747963,7.99542338451537
"52",35.5,16.043489597734,8.02174456232115,8.02174503541289
"53",36,16.0936092363374,8.04680458648731,8.04680464985004
"54",36.5,16.1412929578689,8.07064651195752,8.0706464459112
"55",37,16.1866233451249,8.09331163702398,8.09331170810085
"56",37.5,16.2296786066249,8.11483918536922,8.11483942125522
"57",38,16.2705328648898,7.92167262777352,7.92167296308745
"58",38.5,16.3092564222582,7.71813214974296,7.71813204705574
"59",39,16.3459160062526,7.52231511659793,7.52231502826188
"60",39.5,16.3805749963103,7.33380146102639,7.33380144725776
"61",40,16.4132936335082,7.15220139293786,7.15220117319047
"62",40.5,16.444129214752,6.97715237893456,6.97715224182871
"63",41,16.4731362727548,6.80831757756035,6.80831752243403
"64",41.5,16.5003667430049,6.64538332761958,6.64538314273833
"65",42,16.5258701188064,6.48805628520262,6.48805655552767
"66",42.5,16.5496935953746,6.33606374315204,6.33606349357328
"67",43,16.5718822038775,6.18914867049984,6.18914878427857
"68",43.5,16.5924789362323,6.04707254096058,6.04707278962388
"69",44,16.6115248613915,5.90961043458602,5.90961050994885
"70",44.5,16.6290592337897,5.7765512381981,5.77655137763472
"71",45,16.6451195945587,5.64769708709142,5.64769696151666
"72",45.5,16.6597418660687,5.52286115309558,5.52286133277919
"73",46,16.6729604403027,5.4018685034607,5.40186856265589
"74",46.5,16.6848082615284,5.28455362364256,5.28455367128803
"75",47,16.6953169036925,5.17076049128379,5.1707603676849
"76",47.5,16.7045166429255,5.06034129813376,5.06034124160295
"77",48,16.7124365255148,4.95315782074205,4.95315766614599
"78",48.5,16.7191044316715,4.84907742735089,4.84907758775098
"79",49,16.7245471353932,4.74797629598762,4.74797634050233
"80",49.5,16.7287903606967,4.64973599657847,4.64973595658042
"81",50,16.7318588344768,4.5542449569668,4.55424482879381
"82",50.5,16.7337763362236,4.46139643414389,4.46139664938507
"83",51,16.7345657448144,4.37109011343481,4.37109029236867
"84",51.5,16.7342490825787,4.28323043665296,4.28323041920724
"85",52,16.7328475568206,4.19772594280603,4.197725984374
"86",52.5,16.7303815989674,4.11449040146603,4.11449049434911
"87",53,16.7268709015009,4.03344088077652,4.03344105106288
"88",53.5,16.722334452817,3.95449968216297,3.95449965926665
"89",54,16.7167905701487,3.87759162967438,3.87759166064284
"90",54.5,16.710256930674,3.80264544906241,3.80264526051023
"91",55,16.7027506009284,3.72959291334319,3.72959274108349
"92",55.5,16.6942880646241,3.65836934603994,3.65836927670433
"93",56,16.6848852489804,3.58891237166256,3.5889123974581
