"theta","phi","sum","Dmax1","Dmax2","d1","d2"
21,5,26,13.8665305777121,36.7128277695944,13.8665305777121,16.1883489161274
21.5,5,26.5,13.9494719701858,36.8519321420566,13.9494719701858,16.3049223766066
22,5,27,14.0257469516427,36.9859749636075,14.0257469516426,16.4142150662562
22.5,5,27.5,14.0956360786282,37.1152323915479,14.0956360786282,16.5165284027568
23,5,28,14.1594003054542,37.2399608590636,14.1594003054542,16.6121440315373
23.5,5,28.5,14.2172827140435,37.3603988054146,14.2172827140435,16.7013243995837
24,5,29,14.2695100647816,37.4767682271397,14.2695100647816,16.7843153160582
24.5,5,29.5,14.3162941896081,37.5892760715118,14.3162941896081,16.8613465217664
25,5,30,14.3578332457547,37.6981154906467,14.3578332457547,16.9326329141879
25.5,5,30.5,14.3943128461188,37.8034669722586,14.3943128461188,16.9983774207834
26,5,31,14.4259070801993,37.9054993609861,14.4259070801993,17.0587700701782
26.5,5,31.5,14.4527794377556,38.0043707824503,14.4527794377556,17.1139898448661
27,5,32,14.4750836458259,38.100229480682,14.4750836458259,17.1642056076762
27.5,5,32.5,14.4929644284364,38.1932145782481,14.4929644284364,17.2095771855125
28,5,33,14.5065581971984,38.2834567672757,14.5065581971984,17.2502546858167
28.5,5,33.5,14.5159936800146,38.3710789385934,14.5159936800146,17.2863809125602
29,5,34,14.5213924942634,38.4561967553607,14.5213924942634,17.3180916585859
29.5,5,34.5,14.5228696700937,38.5389191768156,14.5228696700937,17.3455141895121
30,5,35,14.5205341288182,38.619348937131,14.5205341288182,17.3687715850748
5,5.5,10.5,4.02779410435811,25.9232819906203,4.0277941043581,4.70375127201737
5.5,5.5,11,4.84170149010778,26.7404178541857,4.84170149010778,5.61366956830233
6,5.5,11.5,5.58308235547228,27.4867069127929,5.58308235547227,6.44212892230826
6.5,5.5,12,6.26079299338219,28.1710050855945,6.26079299338218,7.2001328629623
7,5.5,12.5,6.8822728805448,28.8007513476315,6.8822728805448,7.89651624670462
7.5,5.5,13,7.45381716666178,29.3822402190891,7.45381716666178,8.53853969246704
8,5.5,13.5,7.98078861046921,29.9208337013848,7.98078861046921,9.1322646605251
8.5,5.5,14,8.46778410089214,30.4211277983804,8.46778410089214,9.68281240618388
9,5.5,14.5,8.91876672552491,30.8870845849297,8.91876672552491,10.1945515258131
9.5,5.5,15,9.33717142539235,31.3221378617174,9.33717142539235,10.6712373336935
10,5.5,15.5,9.72599020037782,31.729278360773,9.72599020037782,11.1161202808319
10.5,5.5,16,10.0878413386077,32.1111229749529,10.0878413386077,11.5320311061912
11,5.5,16.5,10.4250260586478,32.4699714002422,10.4250260586478,11.9214483268093
11.5,5.5,17,10.73957515599,32.8078527823576,10.73957515599,12.2865511095011
12,5.5,17.5,11.0332876529684,33.1265643667896,11.0332876529684,12.629267149779
12.5,5.5,18,11.3077630069928,33.4277037071707,11.3077630069928,12.9513053106613
13,5.5,18.5,11.5644280957937,33.7126956506654,11.5644280957937,13.2541887576735
13.5,5.5,19,11.8045599418065,33.9828150625096,11.8045599418064,13.5392782857668
14,5.5,19.5,12.0293049404634,34.2392060544663,12.0293049404634,13.8077950365797
14.5,5.5,20,12.2396952042078,34.4828983290139,12.2396952042078,14.0608379052046
15,5.5,20.5,12.436662514666,34.7148211317015,12.436662514666,14.2993982579877
15.5,5.5,21,12.621050281616,34.9358152103114,12.621050281616,14.5243731856792
16,5.5,21.5,12.7936238332272,35.1466431053004,12.7936238332272,14.7365772478587
16.5,5.5,22,12.9550793030475,35.347998037,12.9550793030475,14.93675103934
17,5.5,22.5,13.1060513320216,35.5405116078565,13.1060513320216,15.1255703664195
17.5,5.5,23,13.2471197658598,35.724760500031,13.2471197658598,15.3036526853719
18,5.5,23.5,13.3788154973845,35.9012723179867,13.3788154973845,15.4715641324123
