"theta","phi","sum","Dmax1","Dmax2","d1","d2"
7.5,5.5,13,7.45381716666178,29.3822402190891,7.45381716666178,8.07198336393215
8,5.5,13.5,7.98078861046921,29.9208337013848,7.98078861046921,8.6258408285256
8.5,5.5,14,8.46778410089214,30.4211277983804,8.46778410089213,9.13747883718384
9,5.5,14.5,8.91876672552491,30.8870845849297,8.91876672552489,9.61116300665475
9.5,5.5,15,9.33717142539235,31.3221378617174,9.33717142539235,10.0505645214783
10,5.5,15.5,9.72599020037782,31.729278360773,9.72599020037782,10.4588639097959
10.5,5.5,16,10.0878413386077,32.1111229749529,10.0878413386077,10.8388316795656
11,5.5,16.5,10.4250260586478,32.4699714002422,10.4250260586478,11.1928955308305
11.5,5.5,17,10.73957515599,32.8078527823576,10.73957515599,11.5231913806469
12,5.5,17.5,11.0332876529684,33.1265643667896,11.0332876529684,11.8316075701481
12.5,5.5,18,11.3077630069928,33.4277037071707,11.3077630069928,12.1198202679635
13,5.5,18.5,11.5644280957937,33.7126956506654,11.5644280957937,12.3893225053726
13.5,5.5,19,11.8045599418065,33.9828150625096,11.8045599418064,12.6414493376293
14,5.5,19.5,12.0293049404634,34.2392060544663,12.0293049404634,12.8773986555639
14.5,5.5,20,12.2396952042078,34.4828983290139,12.2396952042078,13.0982478941188
15,5.5,20.5,12.436662514666,34.7148211317015,12.436662514666,13.3049695965767
15.5,5.5,21,12.621050281616,34.9358152103114,12.621050281616,13.4984441584616
16,5.5,21.5,12.7936238332272,35.1466431053004,12.7936238332272,13.6794706845798
16.5,5.5,22,12.9550793030475,35.347998037,12.9550793030475,13.8487754703733
17,5.5,22.5,13.1060513320216,35.5405116078565,13.1060513320216,14.0070218696477
17.5,5.5,23,13.2471197658598,35.724760500031,13.2471197658598,14.1548156356868
18,5.5,23.5,13.3788154973845,35.9012723179867,13.3788154973845,14.2927118062008
18.5,5.5,24,13.5016255785437,36.0705307007531,13.5016255785437,14.4212201456035
19,5.5,24.5,13.6159977064239,36.2329798081988,13.6159977064239,14.5408096490343
19.5,5.5,25,13.7223441709005,36.3890282689511,13.7223441709005,14.6519125666948
20,5.5,25.5,13.8210453378185,36.5390526638554,13.8210453378185,14.7549280664049
20.5,5.5,26,13.9124527302249,36.6834006074962,13.9124527302248,14.8502256885325
21,5.5,26.5,13.9968917607416,36.8223934808677,13.9968917607415,14.9381482318298
21.5,5.5,27,14.0746641602986,36.9563288604132,13.6521093296783,14.6055472357947
22,5.5,27.5,14.1460501418712,37.0854826820799,13.1675547163676,14.1362835630099
22.5,5.5,28,14.2113103323458,37.2101111735094,12.7074224198814,13.6910923529154
23,5.5,28.5,14.2706875009876,37.3304525828408,12.2699479301295,13.2682184227005
23.5,5.5,29,14.324408109057,37.4467287286719,11.8535354974641,12.8660754056265
24,5.5,29.5,14.3726837017946,37.5591463923966,11.456736695285,12.4832236806878
24.5,5.5,30,14.4157121611625,37.66789857131,11.0782355304868,12.1183547730084
25,5.5,30.5,14.4536788353203,37.7731656084561,10.7168317882192,11.7702769399117
25.5,5.5,31,14.4867575587527,37.8751162131363,10.3714281182341,11.4378999645945
26,5.5,31.5,14.5151115751955,37.9739083842261,10.0410200979928,11.1202262905634
26.5,5.5,32,14.5388943739928,38.0696902469313,9.72468694649799,10.8163421935499
27,5.5,32.5,14.5582504492052,38.1626008123051,9.4215808114365,10.5254063363132
27.5,5.5,33,14.5733159896628,38.2527706677184,9.13092166023388,10.2466445824542
28,5.5,33.5,14.5842195071755,38.3403226054966,8.85198953176935,9.9793428936327
28.5,5.5,34,14.5910824092668,38.4253721960894,8.58411938555899,9.72284169644057
29,5.5,34.5,14.5940195220576,38.5080283113987,8.32669503133319,9.47653074738813
29.5,5.5,35,14.593139568285,38.5883936032507,8.0791458982402,9.23984437517372
30,5.5,35.5,14.5885456048768,38.6665649414334,7.84094168443558,9.01225697499823
5,6,11,4.84558546848004,26.7169304955237,4.84558546848004,5.31463767977293
