"theta","phi","sum","Dmax1","Dmax2","d1","d2"
19,5,24,13.461688649456,36.0994662229872,3.59731400955686,3.79011607916016
19.5,5,24.5,13.5745660761404,36.2620456459472,3.46774689914015,3.66475601650866
20,5,25,13.6794164898676,36.4182192876607,3.34472652506785,3.54583912979841
20.5,5,25.5,13.7766206820361,36.5683640310636,3.22779380434564,3.43290972013515
21,5,26,13.8665305777121,36.7128277695944,3.11653012260034,3.32555259552775
21.5,5,26.5,13.9494719701858,36.8519321420566,3.01055447852397,3.22338966115132
22,5,27,14.0257469516427,36.9859749636075,2.90951797241056,3.126075156646
22.5,5,27.5,14.0956360786282,37.1152323915479,2.81310131831538,3.03329227387628
23,5,28,14.1594003054542,37.2399608590636,2.72101175693101,2.94475087417707
23.5,5,28.5,14.2172827140435,37.3603988054146,2.63298056183058,2.86018482011615
24,5,29,14.2695100647816,37.4767682271397,2.54875959064782,2.77934802283876
24.5,5,29.5,14.3162941896081,37.5892760715118,2.46812098763683,2.70201503659671
25,5,30,14.3578332457547,37.6981154906467,2.3908539392006,2.62797695044296
25.5,5,30.5,14.3943128461188,37.8034669722586,2.3167632336902,2.55704064025714
26,5,31,14.4259070801993,37.9054993609861,2.24566924372483,2.48902827686614
26.5,5,31.5,14.4527794377556,38.0043707824503,2.17740422496555,2.42377386191532
27,5,32,14.4750836458259,38.100229480682,2.11181305224586,2.36112410602017
27.5,5,32.5,14.4929644284364,38.1932145782481,2.04875127270076,2.30093602604105
28,5,33,14.5065581971984,38.2834567672757,1.98808496974562,2.24307730167068
28.5,5,33.5,14.5159936800146,38.3710789385934,1.92968872603321,2.18742404640704
29,5,34,14.5213924942634,38.4561967553607,1.87344585216206,2.13386093490915
29.5,5,34.5,14.5228696700937,38.5389191768156,1.81924763218492,2.0822805917362
30,5,35,14.5205341288182,38.619348937131,1.76699176850696,2.03258226695378
5,5.5,10.5,4.02779410435811,25.9232819906203,4.02779410435811,4.14966913198921
5.5,5.5,11,4.84170149010778,26.7404178541857,4.84170149010777,4.96087871143833
6,5.5,11.5,5.58308235547228,27.4867069127929,5.58308235547225,5.6971928805171
6.5,5.5,12,6.26079299338219,28.1710050855945,6.26079299338218,6.36817645892662
7,5.5,12.5,6.8822728805448,28.8007513476315,6.8822728805448,6.98167506117703
7.5,5.5,13,7.45381716666178,29.3822402190891,7.45381716666176,7.54423557226097
8,5.5,13.5,7.98078861046921,29.9208337013848,7.98078861046921,8.06138714579528
8.5,5.5,14,8.46778410089214,30.4211277983804,8.46778410089207,8.5378424908738
9,5.5,14.5,8.91876672552491,30.8870845849297,8.54035003971183,8.60699847845308
9.5,5.5,15,9.33717142539235,31.3221378617174,8.06569242221614,8.14019746470039
10,5.5,15.5,9.72599020037782,31.729278360773,7.63198257686164,7.71404009539536
10.5,5.5,16,10.0878413386077,32.1111229749529,7.23428849173671,7.32361795397386
11,5.5,16.5,10.4250260586478,32.4699714002422,6.86843614986782,6.96477782292511
11.5,5.5,17,10.73957515599,32.8078527823576,6.53087071558213,6.63398311542517
12,5.5,17.5,11.0332876529684,33.1265643667896,6.21854311442864,6.32820058100429
12.5,5.5,18,11.3077630069928,33.4277037071707,5.92882330803915,6.04481446045673
13,5.5,18.5,11.5644280957937,33.7126956506654,5.6594325446751,5.78155857058635
13.5,5.5,19,11.8045599418065,33.9828150625096,5.40838339810033,5.53645702544553
14,5.5,19.5,12.0293049404634,34.2392060544663,5.17393665001254,5.3077806231282
14.5,5.5,20,12.2396952042078,34.4828983290139,4.95456442004642,5.09401078600551
15,5.5,20.5,12.436662514666,34.7148211317015,4.74891699945416,4.89380635671742
15.5,5.5,21,12.621050281616,34.9358152103114,4.55579899887195,4.70597932328363
16,5.5,21.5,12.7936238332272,35.1466431053004,4.37414857964151,4.52947511535804
16.5,5.5,22,12.9550793030475,35.347998037,4.20301805146464,4.36335219313585
17,5.5,22.5,13.1060513320216,35.5405116078565,4.04155965587312,4.20676891855997
17.5,5.5,23,13.2471197658598,35.724760500031,3.88901310703848,4.05897031496701
18,5.5,23.5,13.3788154973845,35.9012723179867,3.74469420503081,3.91927748064482
