"Angle","Dmax","d1","d2"
"53",36,16.0936092363374,8.04680463714495,8.04680459919242
"54",36.5,16.1412929578689,8.07064637778674,8.07064658008209
"55",37,16.1866233451249,8.09331138788034,8.09331195724456
"56",37.5,16.2296786066249,8.11483917274126,8.11483943388102
"57",38,16.2705328648898,7.9216727066592,7.9216726967826
"58",38.5,16.3092564222582,7.71813204481331,7.71813205118361
"59",39,16.3459160062526,7.52231496504288,7.52231506279074
"60",39.5,16.3805749963103,7.33380158002531,7.33380158952508
"61",40,16.4132936335082,7.15220131868957,7.15220134914115
"62",40.5,16.444129214752,6.97715244357768,6.97715242338304
"63",41,16.4731362727548,6.80831770423008,6.80831768916988
"64",41.5,16.5003667430049,6.64538336464672,6.645383222269
"65",42,16.5258701188064,6.48805648040461,6.48805644223622
"66",42.5,16.5496935953746,6.33606348224436,6.33606335573434
"67",43,16.5718822038775,6.18914913576825,6.18914900283534
"68",43.5,16.5924789362323,6.04707296223049,6.04707248819612
"69",44,16.6115248613915,5.90961059201402,5.90961047853997
"70",44.5,16.6290592337897,5.77655118615964,5.77655108935918
"71",45,16.6451195945587,5.64769686391889,5.6476969190326
"72",45.5,16.6597418660687,5.52286146317616,5.52286130786976
"73",46,16.6729604403027,5.4018685563008,5.40186850445472
"74",46.5,16.6848082615284,5.28455360054334,5.28455362829463
"75",47,16.6953169036925,5.17076029141145,5.1707602004981
"76",47.5,16.7045166429255,5.06034140803504,5.06034134713243
"77",48,16.7124365255148,4.95315758023924,4.95315783237087
"78",48.5,16.7191044316715,4.8490775575632,4.84907761278698
"79",49,16.7245471353932,4.7479764659558,4.74797640395312
"80",49.5,16.7287903606967,4.64973603271263,4.64973616748804
"81",50,16.7318588344768,4.55424482589876,4.55424489413504
"82",50.5,16.7337763362236,4.46139651251624,4.46139639780119
"83",51,16.7345657448144,4.37109022736393,4.37109027355447
"84",51.5,16.7342490825787,4.28323019597203,4.28323028994748
"85",52,16.7328475568206,4.19772595706873,4.19772595758424
"86",52.5,16.7303815989674,4.11449018608365,4.1144903796293
"87",53,16.7268709015009,4.0334411392098,4.0334410289232
"88",53.5,16.722334452817,3.95449987468319,3.9544998681252
"89",54,16.7167905701487,3.87759175158288,3.87759147555413
"90",54.5,16.710256930674,3.80264544885673,3.80264537603419
"91",55,16.7027506009284,3.72959304301016,3.72959295748374
"92",55.5,16.6942880646241,3.65836932204084,3.65836909829313
"93",56,16.6848852489804,3.58891246415023,3.58891234616659
"94",56.5,16.6745575496533,3.52116314637982,3.5211634118484
"95",57,16.6633198543527,3.45506503574599,3.45506483984761
"96",57.5,16.6511865652271,3.39056337272259,3.39056326555576
"97",58,16.6381716200881,3.32760662287119,3.32760662417125
"98",58.5,16.6242885125472,3.26614478609814,3.26614487229039
"99",59,16.6095503111263,3.20613074529061,3.2061308605928
"100",59.5,16.5939696774047,3.14751862304788,3.14751847920978
"101",60,16.5775588832577,3.09026480035851,3.09026486263779
