"Angle","Dmax","d1","d2","d3"
"75",47,16.6953169036925,5.25874935116762,5.25874939784316,5.25874961973363
"76",47.5,16.7045166429255,5.14377779121582,5.14377795436775,5.14377788938206
"77",48,16.7124365255148,5.03231774582868,5.03231789335181,5.03231793516603
"78",48.5,16.7191044316715,4.9242176548114,4.92421783203856,4.92421788444404
"79",49,16.7245471353932,4.81933503211882,4.81933491659325,4.8193350266428
"80",49.5,16.7287903606967,4.71753477392705,4.71753497339792,4.71753482822927
"81",50,16.7318588344768,4.61868989286691,4.61868990955414,4.61868971090014
"82",50.5,16.7337763362236,4.52268016765901,4.52268021125147,4.52267993087846
"83",51,16.7345657448144,4.42939162708312,4.42939145834946,4.42939161122886
"84",51.5,16.7342490825787,4.33871696166799,4.33871701097614,4.33871695287065
"85",52,16.7328475568206,4.25055431063965,4.2505542126184,4.25055431635919
"86",52.5,16.7303815989674,4.16480658231277,4.16480658616128,4.16480645228755
"87",53,16.7268709015009,4.08138236310658,4.08138204639193,4.08138214179038
"88",53.5,16.722334452817,4.0001939261821,4.00019368773538,4.00019394925727
"89",54,16.7167905701487,3.92115882297605,3.92115891746668,3.92115902444264
"90",54.5,16.710256930674,3.84419839811386,3.84419862373965,3.84419863436132
"91",55,16.7027506009284,3.76923778186888,3.76923767390564,3.76923786007946
"92",55.5,16.6942880646241,3.69620524967417,3.69620523392244,3.69620506798964
"93",56,16.6848852489804,3.62503287900067,3.62503284769397,3.62503253856707
"94",56.5,16.6745575496533,3.55565573310235,3.555655764132,3.55565582517318
"95",57,16.6633198543527,3.4880123514403,3.4880124956271,3.4880124296293
"96",57.5,16.6511865652271,3.42204369272934,3.42204357539987,3.42204356183464
"97",58,16.6381716200881,3.3576929526401,3.35769270119902,3.35769301511854
"98",58.5,16.6242885125472,3.29490633630496,3.29490651895389,3.29490648810561
"99",59,16.6095503111263,3.23363269301877,3.23363285853251,3.23363279962013
"100",59.5,16.5939696774047,3.17382253329072,3.17382285504499,3.17382261443863
"101",60,16.5775588832577,3.11542882621309,3.11542878386668,3.1154290278878
